,DeviceId,Latitude,Longitude,Epoch,Timestamp,Accuracy,DateTime,Hour
0,9349fcbd-9c53-4751-917a-0b9786800dc2,-16.993376,145.42305,1572494092000,2019-10-31 14:54:52,24.1,2019-10-31 14:54:52,14
1,9def1ed9-af27-4a72-84d9-a5617350948c,-16.914371,145.74251,1572547817000,2019-11-01 05:50:17,128.9,2019-11-01 05:50:17,5
2,ee3a3034-3cfb-4285-b4e9-8af1b5227ca1,-17.266232000000002,145.53691,1572556399000,2019-11-01 08:13:19,8.0,2019-11-01 08:13:19,8
3,1624FBF4-E25B-4721-8BC5-CD2670946DF8,-17.35109,146.02008999999998,1572206756000,2019-10-28 07:05:56,10.0,2019-10-28 07:05:56,7
4,35e1597a-527e-40ee-9744-1f97de65abbc,-17.224663600000003,145.6522983,1572206761000,2019-10-28 07:06:01,12.0,2019-10-28 07:06:01,7
5,6fb379f3-18d9-4b46-ae96-f6fca099bf83,-17.25,145.6,1572206765000,2019-10-28 07:06:05,6.9,2019-10-28 07:06:05,7
6,59C95DAB-651B-4066-8677-30301E144E83,-16.9781,145.3764,1572206910000,2019-10-28 07:08:30,6.4,2019-10-28 07:08:30,7
7,d9746e13-08a8-43f8-9cff-a073177e35e7,-17.344856,145.9194,1572555275000,2019-11-01 07:54:35,7.5,2019-11-01 07:54:35,7
8,3b208539-b675-4ddf-918d-93669098d25e,-17.3370659,145.62195730000002,1572515111000,2019-10-31 20:45:11,1485.8,2019-10-31 20:45:11,20
9,dcf472cf-a03f-4cbb-b8cf-7891bf8dd0b4,-17.15558873,145.40093869,1572550682000,2019-11-01 06:38:02,5.0,2019-11-01 06:38:02,6
10,a8b8ec3b-2f62-465c-86ef-ab3600ff867d,-17.233952,145.77132,1572505837000,2019-10-31 18:10:37,48.0,2019-10-31 18:10:37,18
11,3676cbe3-7fec-456d-a35d-707071d09d10,-17.2223927,145.9154729,1572494486000,2019-10-31 15:01:26,26.0,2019-10-31 15:01:26,15
12,47f3908c-567a-4f8f-a128-a15b521f31ae,-17.14245261,145.71828831,1572511131000,2019-10-31 19:38:51,32.0,2019-10-31 19:38:51,19
13,bcea631a-fb67-4c4d-980f-d8151a32451e,-16.96918426,145.79050135,1572501040000,2019-10-31 16:50:40,4.3,2019-10-31 16:50:40,16
14,2b147397-9c88-4fc9-b9f1-300049099848,-17.3795277,145.3860908,1572506122000,2019-10-31 18:15:22,2939.3,2019-10-31 18:15:22,18
15,54a047b3-2ad9-488d-9af4-1ae02216087a,-16.888044,146.19156999999998,1572498103000,2019-10-31 16:01:43,804.7,2019-10-31 16:01:43,16
16,9349fcbd-9c53-4751-917a-0b9786800dc2,-17.052554999999998,145.47752,1572496101000,2019-10-31 15:28:21,116.1,2019-10-31 15:28:21,15
17,1aee69e6-f943-45dc-82eb-ac3e3db57400,-17.06,145.43,1572549706000,2019-11-01 06:21:46,5.5,2019-11-01 06:21:46,6
18,3676cbe3-7fec-456d-a35d-707071d09d10,-17.1943962,145.89740849999998,1572552652000,2019-11-01 07:10:52,2184.0,2019-11-01 07:10:52,7
19,b590b9a0-0a2b-4d73-bd49-7fbf0c5404e0,-16.82,145.58,1572549692000,2019-11-01 06:21:32,6.9,2019-11-01 06:21:32,6
20,bb645a44-5c38-45d1-87d2-c3a60b04ccf0,-17.00322566,145.49041058,1572499426000,2019-10-31 16:23:46,821.5,2019-10-31 16:23:46,16
21,54a047b3-2ad9-488d-9af4-1ae02216087a,-16.688871,146.08655,1572499750000,2019-10-31 16:29:10,87.6,2019-10-31 16:29:10,16
22,2614c160-89fa-4397-b9ea-b7be8fb9b681,-17.30973,145.61308,1572515039000,2019-10-31 20:43:59,87.6,2019-10-31 20:43:59,20
23,502096e2-a211-4f31-9fd6-a75962e0a2d6,-17.13721927,145.83675312,1572499848000,2019-10-31 16:30:48,5.0,2019-10-31 16:30:48,16
24,51EED605-C0FF-4FFE-95DF-429E7E09F652,-17.18894066,145.54758796,1572500131000,2019-10-31 16:35:31,5.0,2019-10-31 16:35:31,16
25,d6656a79-b095-41d8-b651-62a21c3ac9d6,-16.91712774,145.41868393,1572508297000,2019-10-31 18:51:37,10.0,2019-10-31 18:51:37,18
26,4f1efbde-4bad-414b-a2e4-df4d49990fd4,-17.16,145.55,1572550302000,2019-11-01 06:31:42,12.2,2019-11-01 06:31:42,6
27,0E6A281B-D765-4BE3-A478-174050ABE8A7,-17.26285,145.918384,1572537973000,2019-11-01 03:06:13,100.00235,2019-11-01 03:06:13,3
28,a2739511-83ea-4198-899b-a9f41d7a2fce,-17.238035,145.63072,1572500581000,2019-10-31 16:43:01,16.0,2019-10-31 16:43:01,16
29,502096e2-a211-4f31-9fd6-a75962e0a2d6,-17.31759659,145.92764630000002,1572500750000,2019-10-31 16:45:50,5.0,2019-10-31 16:45:50,16
30,3b208539-b675-4ddf-918d-93669098d25e,-17.3557435,145.594563,1572514724000,2019-10-31 20:38:44,1252.9,2019-10-31 20:38:44,20
31,e3c3100e-2884-4f69-8ef6-a2b12b059fd4,-17.14852,145.74347,1572524158000,2019-10-31 23:15:58,17.4,2019-10-31 23:15:58,23
32,ae1cb6f2-547c-4b02-a14f-b5d50affb210,-16.865795000000002,145.60541,1572503890000,2019-10-31 17:38:10,16.0,2019-10-31 17:38:10,17
33,502096e2-a211-4f31-9fd6-a75962e0a2d6,-17.37792359,145.91195797,1572505344000,2019-10-31 18:02:24,10.0,2019-10-31 18:02:24,18
34,9a066ccb-4c9e-4b0f-a5a5-1e01c758ce6d,-16.9316247,145.9874927,1572517555000,2019-10-31 21:25:55,4.0,2019-10-31 21:25:55,21
35,ce878422-a792-4aa9-b232-ca27366d3d5c,-17.013198899999995,145.36418390000003,1572506051000,2019-10-31 18:14:11,37.3,2019-10-31 18:14:11,18
36,a8b8ec3b-2f62-465c-86ef-ab3600ff867d,-17.176105,145.72385,1572506761000,2019-10-31 18:26:01,102.1,2019-10-31 18:26:01,18
